name,type,calories,protein,carbs,fat,goal,recipe,image_url
Protein Pancakes,Breakfast,400,30,35,14,Muscle Gain,<p>Make pancakes with protein powder and oats.</p>,/images/meal_25.jpg
Grilled Shrimp Tacos,Lunch,470,28,38,16,Maintenance,<p>Serve grilled shrimp in corn tortillas with salsa.</p>,/images/meal_26.jpg
Turkey Chili,Dinner,540,40,30,20,Muscle Gain,"<p>Cook ground turkey with beans, tomato, and spices.</p>",/images/meal_27.jpg
Cucumber Salad,Snack,140,4,10,7,Fat Loss,<p>Toss cucumber slices with vinegar and sesame seeds.</p>,/images/meal_28.jpg
Breakfast Burrito,Breakfast,460,25,40,18,Muscle Gain,"<p>Fill tortilla with eggs, beans, and cheese.</p>",/images/meal_29.jpg
Caprese Salad,Lunch,350,18,12,22,Maintenance,"<p>Layer tomatoes, mozzarella, and basil.</p>",/images/meal_30.jpg
Zucchini Noodles with Pesto,Dinner,480,20,30,22,Fat Loss,<p>Serve spiralized zucchini with pesto sauce.</p>,/images/meal_31.jpg
Mixed Nuts,Snack,300,8,10,25,Maintenance,<p>Eat a small handful of mixed unsalted nuts.</p>,/images/meal_32.jpg
Yogurt Parfait,Breakfast,370,15,35,12,Maintenance,<p>Layer yogurt with granola and berries.</p>,/images/meal_33.jpg
Chicken Caesar Wrap,Lunch,460,32,30,20,Fat Loss,<p>Wrap grilled chicken and romaine in a tortilla with Caesar dressing.</p>,/images/meal_34.jpg
Baked Cod with Veggies,Dinner,510,38,25,18,Muscle Gain,<p>Bake cod fillet and serve with roasted vegetables.</p>,/images/meal_35.jpg
Rice Cakes with Almond Butter,Snack,230,6,28,10,Fat Loss,<p>Spread almond butter on brown rice cakes.</p>,/images/meal_36.jpg
Spinach Frittata,Breakfast,320,20,8,18,Maintenance,<p>Whisk eggs and cook with spinach and feta.</p>,/images/meal_37.jpg
Pasta Salad,Lunch,480,18,50,16,Maintenance,<p>Mix cooked pasta with veggies and vinaigrette.</p>,/images/meal_38.jpg
Grilled Steak with Asparagus,Dinner,600,45,20,25,Muscle Gain,<p>Grill steak and serve with sautéed asparagus.</p>,/images/meal_39.jpg
Cottage Cheese and Fruit,Snack,240,18,15,9,Maintenance,<p>Top cottage cheese with mixed fruit.</p>,/images/meal_40.jpg
